symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta,priority,timestamp
IRFC,IRFCEQN,135.95,145.2,135.0,141.0,135.25,5.75,4.25,257972308440.0,192.8,25.4,112209659,15810340953.1,22-Mar-2024 15:59:59,26.867219917012452,-455.1181102362205,425.93,23-Mar-2023,https://nsearchives.nseindia.com/365d/IRFC-EQ.svg,21-Feb-2024,-8.59,https://nsearchives.nseindia.com/30d/IRFC-EQ.svg,https://nsearchives.nseindia.com/today/IRFCEQN.svg,,,0,22-Mar-2024 16:00:00
FINPIPE,FINPIPEEQN,225.05,241.4,222.3,233.55,224.3,9.25,4.12,66659695334.87,259.95,160.65,3030302,708242183.4399999,22-Mar-2024 15:57:31,10.155799192152328,-45.378151260504204,40.15,23-Mar-2023,https://nsearchives.nseindia.com/365d/FINPIPE-EQ.svg,21-Feb-2024,7.46,https://nsearchives.nseindia.com/30d/FINPIPE-EQ.svg,https://nsearchives.nseindia.com/today/FINPIPEEQN.svg,,,0,22-Mar-2024 16:00:00
MEDANTA,MEDANTAEQN,1239.0,1290.0,1230.0,1281.0,1230.5,50.5,4.1,113489216392.86,1513.9,464.3,186874,236048024.36,22-Mar-2024 15:57:45,15.384107272607178,-175.89920310144302,162.27,23-Mar-2023,https://nsearchives.nseindia.com/365d/MEDANTA-EQ.svg,21-Feb-2024,-10.59,https://nsearchives.nseindia.com/30d/MEDANTA-EQ.svg,https://nsearchives.nseindia.com/today/MEDANTAEQN.svg,,,0,22-Mar-2024 16:00:00
SOBHA,SOBHAEQN,1393.0,1515.05,1363.7,1459.0,1402.05,56.95,4.06,52584437820.26,1675.0,412.1,830072,1214328930.24,22-Mar-2024 15:58:41,12.895522388059701,-254.04028148507646,238.5,23-Mar-2023,https://nsearchives.nseindia.com/365d/SOBHA-EQ.svg,21-Feb-2024,-0.2,https://nsearchives.nseindia.com/30d/SOBHA-EQ.svg,https://nsearchives.nseindia.com/today/SOBHAEQN.svg,,,0,22-Mar-2024 16:00:00
TRIDENT,TRIDENTEQN,37.25,39.8,37.1,38.5,37.0,1.5,4.05,47086630390.8,52.9,25.05,41484498,1613746972.2,22-Mar-2024 15:59:55,27.221172022684307,-53.69261477045908,39.78,23-Mar-2023,https://nsearchives.nseindia.com/365d/TRIDENT-EQ.svg,21-Feb-2024,-11.05,https://nsearchives.nseindia.com/30d/TRIDENT-EQ.svg,https://nsearchives.nseindia.com/today/TRIDENTEQN.svg,,,0,22-Mar-2024 16:00:00
HEROMOTOCO,HEROMOTOCOEQN,4538.8,4736.35,4517.6,4698.15,4519.9,178.25,3.94,610520512861.45,4949.05,2246.0,902115,4206029997.15,22-Mar-2024 15:59:26,5.06965983370547,-109.17853962600176,98.26,23-Mar-2023,https://nsearchives.nseindia.com/365d/HEROMOTOCO-EQ.svg,21-Feb-2024,3.29,https://nsearchives.nseindia.com/30d/HEROMOTOCO-EQ.svg,https://nsearchives.nseindia.com/today/HEROMOTOCOEQN.svg,,,0,22-Mar-2024 16:00:00
MANYAVAR,MANYAVAREQN,900.0,939.0,900.0,931.6,896.55,35.05,3.91,56564079006.7,1487.9,886.55,416516,380591495.0,22-Mar-2024 15:58:38,37.388265340412666,-5.0814956855225395,-16.97,23-Mar-2023,https://nsearchives.nseindia.com/365d/MANYAVAR-EQ.svg,21-Feb-2024,-5.04,https://nsearchives.nseindia.com/30d/MANYAVAR-EQ.svg,https://nsearchives.nseindia.com/today/MANYAVAREQN.svg,,,0,22-Mar-2024 16:00:00
INOXWIND,INOXWINDEQN,472.0,492.0,468.0,486.8,468.6,18.2,3.88,52361670191.42,648.0,91.1,1125124,547811624.36,22-Mar-2024 15:56:07,24.87654320987654,-434.35784851811206,382.11,23-Mar-2023,https://nsearchives.nseindia.com/365d/INOXWIND-EQ.svg,21-Feb-2024,-19.58,https://nsearchives.nseindia.com/30d/INOXWIND-EQ.svg,https://nsearchives.nseindia.com/today/INOXWINDEQN.svg,,,0,22-Mar-2024 16:00:00
ELECON,ELECONEQN,889.05,924.7,881.15,924.3,889.8,34.5,3.88,40445506783.31,1122.0,349.85,273633,247055026.71,22-Mar-2024 15:56:43,17.620320855614978,-164.19894240388734,138.84,23-Mar-2023,https://nsearchives.nseindia.com/365d/ELECON-EQ.svg,21-Feb-2024,-7.92,https://nsearchives.nseindia.com/30d/ELECON-EQ.svg,https://nsearchives.nseindia.com/today/ELECONEQN.svg,,,0,22-Mar-2024 16:00:00
BORORENEW,BORORENEWEQN,503.95,528.9,497.5,522.5,503.25,19.25,3.83,24554159239.5,669.35,380.0,1318229,684609048.86,22-Mar-2024 15:58:01,21.939194741166805,-37.5,19.73,23-Mar-2023,https://nsearchives.nseindia.com/365d/BORORENEW-EQ.svg,21-Feb-2024,-6.53,https://nsearchives.nseindia.com/30d/BORORENEW-EQ.svg,https://nsearchives.nseindia.com/today/BORORENEWEQN.svg,,,0,22-Mar-2024 16:00:00
RESPONIND,RESPONINDEQN,281.85,296.95,281.65,292.4,281.7,10.7,3.8,8575197209.22,364.95,105.0,439567,126538152.29,22-Mar-2024 15:57:41,19.87943553911495,-178.47619047619045,153.61,23-Mar-2023,https://nsearchives.nseindia.com/365d/RESPONIND-EQ.svg,21-Feb-2024,-4.63,https://nsearchives.nseindia.com/30d/RESPONIND-EQ.svg,https://nsearchives.nseindia.com/today/RESPONINDEQN.svg,,,0,22-Mar-2024 16:00:00
KOLTEPATIL,KOLTEPATILEQN,444.2,461.7,435.0,457.6,440.95,16.65,3.78,8694904389.6,585.0,231.0,143952,65208816.480000004,22-Mar-2024 15:57:38,21.777777777777775,-98.09523809523812,78.99,23-Mar-2023,https://nsearchives.nseindia.com/365d/KOLTEPATIL-EQ.svg,21-Feb-2024,-4.89,https://nsearchives.nseindia.com/30d/KOLTEPATIL-EQ.svg,https://nsearchives.nseindia.com/today/KOLTEPATILEQN.svg,,,0,22-Mar-2024 16:00:00
DATAMATICS,DATAMATICSEQN,530.0,555.65,526.05,552.0,531.95,20.05,3.77,10748174104.8,791.5,273.0,259990,141424160.4,22-Mar-2024 15:59:55,30.259001895135818,-102.1978021978022,87.76,23-Mar-2023,https://nsearchives.nseindia.com/365d/DATAMATICS-EQ.svg,21-Feb-2024,-7.48,https://nsearchives.nseindia.com/30d/DATAMATICS-EQ.svg,https://nsearchives.nseindia.com/today/DATAMATICSEQN.svg,,,0,22-Mar-2024 16:00:00
LAURUSLABS,LAURUSLABSEQN,381.75,400.95,381.65,397.95,383.9,14.05,3.66,156571468129.5,444.7,278.85,2124198,841713457.5,22-Mar-2024 15:57:37,10.512705194513154,-42.71113501882731,31.2,23-Mar-2023,https://nsearchives.nseindia.com/365d/LAURUSLABS-EQ.svg,21-Feb-2024,0.54,https://nsearchives.nseindia.com/30d/LAURUSLABS-EQ.svg,https://nsearchives.nseindia.com/today/LAURUSLABSEQN.svg,,,0,22-Mar-2024 16:00:00
JKIL,JKILEQN,603.2,629.55,601.0,624.95,603.2,21.75,3.61,25062193726.59,715.0,227.8,137182,84679704.96,22-Mar-2024 15:57:46,12.59440559440559,-174.34152765583843,154.74,23-Mar-2023,https://nsearchives.nseindia.com/365d/JKIL-EQ.svg,21-Feb-2024,-6.05,https://nsearchives.nseindia.com/30d/JKIL-EQ.svg,https://nsearchives.nseindia.com/today/JKILEQN.svg,,,0,22-Mar-2024 16:00:00
VARROC,VARROCEQN,497.0,513.75,496.05,512.9,495.45,17.45,3.52,19591036140.0,632.0,239.6,223179,113149521.21000001,22-Mar-2024 15:55:35,18.84493670886076,-114.0651085141903,101.04,23-Mar-2023,https://nsearchives.nseindia.com/365d/VARROC-EQ.svg,21-Feb-2024,0.7,https://nsearchives.nseindia.com/30d/VARROC-EQ.svg,https://nsearchives.nseindia.com/today/VARROCEQN.svg,,,0,22-Mar-2024 16:00:00
DISHTV,DISHTVEQN,17.2,18.05,17.0,17.9,17.3,0.6,3.47,23730108023.95,26.05,12.4,51996542,920338793.4,22-Mar-2024 15:59:54,31.28598848368523,-44.3548387096774,27.5,23-Mar-2023,https://nsearchives.nseindia.com/365d/DISHTV-EQ.svg,21-Feb-2024,-22.73,https://nsearchives.nseindia.com/30d/DISHTV-EQ.svg,https://nsearchives.nseindia.com/today/DISHTVEQN.svg,,,0,22-Mar-2024 16:00:00
ASTRAMICRO,ASTRAMICROEQN,545.0,560.4,540.8,557.0,538.35,18.65,3.46,47067088815.84,694.0,213.3,198252,109595688.11999999,22-Mar-2024 15:56:54,19.740634005763688,-161.13455227379276,135.69,23-Mar-2023,https://nsearchives.nseindia.com/365d/ASTRAMICRO-EQ.svg,21-Feb-2024,-12.72,https://nsearchives.nseindia.com/30d/ASTRAMICRO-EQ.svg,https://nsearchives.nseindia.com/today/ASTRAMICROEQN.svg,,,0,22-Mar-2024 16:00:00
PSPPROJECT,PSPPROJECTEQN,632.45,661.55,624.0,654.3,632.45,21.85,3.45,8008632000.0,846.0,599.9,101148,65839256.16,22-Mar-2024 15:57:37,22.65957446808511,-9.068178029671609,-2.02,23-Mar-2023,https://nsearchives.nseindia.com/365d/PSPPROJECT-EQ.svg,21-Feb-2024,-7.5,https://nsearchives.nseindia.com/30d/PSPPROJECT-EQ.svg,https://nsearchives.nseindia.com/today/PSPPROJECTEQN.svg,,,0,22-Mar-2024 16:00:00
RATNAMANI,RATNAMANIEQN,2796.0,2870.0,2767.2,2868.9,2773.35,95.55,3.45,72391297968.0,3938.8,1916.05,41497,117900446.46,22-Mar-2024 15:54:08,27.16309535899259,-49.72991310247646,37.4,23-Mar-2023,https://nsearchives.nseindia.com/365d/RATNAMANI-EQ.svg,21-Feb-2024,-6.2,https://nsearchives.nseindia.com/30d/RATNAMANI-EQ.svg,https://nsearchives.nseindia.com/today/RATNAMANIEQN.svg,,,0,22-Mar-2024 16:00:00
MAITHANALL,MAITHANALLEQN,972.0,1014.0,969.0,998.0,965.05,32.95,3.41,7263331725.0,1335.5,766.55,53504,53419998.72,22-Mar-2024 15:57:10,25.271433919880195,-30.193725132085323,16.98,23-Mar-2023,https://nsearchives.nseindia.com/365d/MAITHANALL-EQ.svg,21-Feb-2024,-8.35,https://nsearchives.nseindia.com/30d/MAITHANALL-EQ.svg,https://nsearchives.nseindia.com/today/MAITHANALLEQN.svg,,,0,22-Mar-2024 16:00:00
HERITGFOOD,HERITGFOODEQN,326.0,339.45,324.0,338.95,327.8,11.15,3.4,14468473932.0,355.0,141.3,325948,108644987.36,22-Mar-2024 15:59:50,4.521126760563384,-139.8796886058032,131.71,23-Mar-2023,https://nsearchives.nseindia.com/365d/HERITGFOOD-EQ.svg,21-Feb-2024,5.08,https://nsearchives.nseindia.com/30d/HERITGFOOD-EQ.svg,https://nsearchives.nseindia.com/today/HERITGFOODEQN.svg,,,0,22-Mar-2024 16:00:00
KARURVYSYA,KARURVYSYAEQN,176.95,183.0,176.1,182.0,176.05,5.95,3.38,141960696566.78,204.9,92.7,1922053,347449520.81,22-Mar-2024 15:58:00,11.176183504148367,-96.33225458468176,87.41,23-Mar-2023,https://nsearchives.nseindia.com/365d/KARURVYSYA-EQ.svg,21-Feb-2024,0.14,https://nsearchives.nseindia.com/30d/KARURVYSYA-EQ.svg,https://nsearchives.nseindia.com/today/KARURVYSYAEQN.svg,,,0,22-Mar-2024 16:00:00
BRIGADE,BRIGADEEQN,908.9,974.9,906.05,934.4,904.25,30.15,3.33,116606827881.22,1108.0,450.0,1238932,1171905778.8,22-Mar-2024 15:58:32,15.667870036101087,-107.64444444444445,101.3,23-Mar-2023,https://nsearchives.nseindia.com/365d/BRIGADE-EQ.svg,21-Feb-2024,-7.26,https://nsearchives.nseindia.com/30d/BRIGADE-EQ.svg,https://nsearchives.nseindia.com/today/BRIGADEEQN.svg,,,0,22-Mar-2024 16:00:00
MOL,MOLEQN,79.6,83.45,79.45,82.3,79.65,2.65,3.33,10674330378.3,104.5,71.9,2084719,170279847.92000002,22-Mar-2024 15:57:37,21.244019138755984,-14.464534075104298,-2.5,23-Mar-2023,https://nsearchives.nseindia.com/365d/MOL-EQ.svg,21-Feb-2024,-7.67,https://nsearchives.nseindia.com/30d/MOL-EQ.svg,https://nsearchives.nseindia.com/today/MOLEQN.svg,,,0,22-Mar-2024 16:00:00
MARUTI,MARUTIEQN,11890.05,12427.3,11890.05,12304.0,11908.15,395.85,3.32,1624731893608.32,12427.3,8140.0,1062263,12993080507.130001,22-Mar-2024 15:59:08,0.9921704634152171,-51.154791154791155,47.7,23-Mar-2023,https://nsearchives.nseindia.com/365d/MARUTI-EQ.svg,21-Feb-2024,7.6,https://nsearchives.nseindia.com/30d/MARUTI-EQ.svg,https://nsearchives.nseindia.com/today/MARUTIEQN.svg,,,0,22-Mar-2024 16:00:00
EPIGRAL,EPIGRALEQN,1032.0,1107.2,1029.8,1060.0,1025.9,34.1,3.32,12772518569.2,1284.4,815.0,267245,289701597.34999996,22-Mar-2024 15:57:36,17.471192774836503,-30.061349693251532,-,-,-,21-Feb-2024,-13.29,https://nsearchives.nseindia.com/30d/EPIGRAL-EQ.svg,https://nsearchives.nseindia.com/today/EPIGRALEQN.svg,,,0,22-Mar-2024 16:00:00
NEWGEN,NEWGENEQN,742.15,765.0,731.1,763.0,738.6,24.4,3.3,45978139548.18,901.05,218.55,87307,65927261.84,22-Mar-2024 15:57:50,15.321014372121411,-249.1191946922901,72.59,23-Mar-2023,https://nsearchives.nseindia.com/365d/NEWGEN-EQ.svg,21-Feb-2024,0.39,https://nsearchives.nseindia.com/30d/NEWGEN-EQ.svg,https://nsearchives.nseindia.com/today/NEWGENEQN.svg,,,0,22-Mar-2024 16:00:00
ICIL,ICILEQN,314.9,326.8,314.5,324.75,314.4,10.35,3.29,25727258766.0,364.75,101.25,228854,73203528.98,22-Mar-2024 15:57:56,10.966415352981494,-220.74074074074073,176.12,23-Mar-2023,https://nsearchives.nseindia.com/365d/ICIL-EQ.svg,21-Feb-2024,6.61,https://nsearchives.nseindia.com/30d/ICIL-EQ.svg,https://nsearchives.nseindia.com/today/ICILEQN.svg,,,0,22-Mar-2024 16:00:00
SUNTECK,SUNTECKEQN,392.45,407.9,391.0,403.25,390.45,12.8,3.28,19493313992.38,511.4,271.1,385756,153658187.48,22-Mar-2024 15:56:07,21.147829487680873,-48.74585023976391,34.54,23-Mar-2023,https://nsearchives.nseindia.com/365d/SUNTECK-EQ.svg,21-Feb-2024,-18.39,https://nsearchives.nseindia.com/30d/SUNTECK-EQ.svg,https://nsearchives.nseindia.com/today/SUNTECKEQN.svg,,,0,22-Mar-2024 16:00:00
HFCL,HFCLEQN,89.1,93.25,89.0,92.0,89.1,2.9,3.25,82067601196.48,117.8,55.75,18475914,1697012700.8999999,22-Mar-2024 15:59:58,21.90152801358234,-65.02242152466367,48.07,23-Mar-2023,https://nsearchives.nseindia.com/365d/HFCL-EQ.svg,21-Feb-2024,-17.91,https://nsearchives.nseindia.com/30d/HFCL-EQ.svg,https://nsearchives.nseindia.com/today/HFCLEQN.svg,,,0,22-Mar-2024 16:00:00
SUNPHARMA,SUNPHARMAEQN,1568.9,1621.0,1566.1,1616.0,1565.2,50.8,3.25,1744796390184.0,1627.0,922.45,4941447,7913529712.62,22-Mar-2024 15:55:26,0.6760909649661955,-75.18564691853217,64.57,23-Mar-2023,https://nsearchives.nseindia.com/365d/SUNPHARMA-EQ.svg,21-Feb-2024,4.24,https://nsearchives.nseindia.com/30d/SUNPHARMA-EQ.svg,https://nsearchives.nseindia.com/today/SUNPHARMAEQN.svg,,,0,22-Mar-2024 16:00:00
AGI,AGIEQN,725.0,757.45,724.95,747.1,723.65,23.45,3.24,18850811204.59,1089.0,305.0,176317,130783134.75,22-Mar-2024 15:59:20,31.395775941230486,-144.95081967213116,114.91,23-Mar-2023,https://nsearchives.nseindia.com/365d/AGI-EQ.svg,21-Feb-2024,-6.75,https://nsearchives.nseindia.com/30d/AGI-EQ.svg,https://nsearchives.nseindia.com/today/AGIEQN.svg,,,0,22-Mar-2024 16:00:00
MANKIND,MANKINDEQN,2160.0,2270.0,2155.0,2201.0,2132.75,68.25,3.2,88169515644.0,2297.4,1242.0,470034,1034248712.5799999,22-Mar-2024 15:58:37,4.196047706102554,-77.21417069243157,-,-,-,21-Feb-2024,1.11,https://nsearchives.nseindia.com/30d/MANKIND-EQ.svg,https://nsearchives.nseindia.com/today/MANKINDEQN.svg,,,0,22-Mar-2024 16:00:00
JWL,JWLEQN,345.0,357.2,344.5,355.0,344.15,10.85,3.15,43909271062.5,434.0,85.2,883582,311506834.1,22-Mar-2024 15:59:56,18.202764976958527,-316.66666666666663,279.19,23-Mar-2023,https://nsearchives.nseindia.com/365d/JWL-EQ.svg,21-Feb-2024,-5.51,https://nsearchives.nseindia.com/30d/JWL-EQ.svg,https://nsearchives.nseindia.com/today/JWLEQN.svg,,,0,22-Mar-2024 16:00:00
DMART,DMARTEQN,4159.8,4330.5,4151.15,4292.0,4163.1,128.9,3.1,642377655406.88,4330.5,3300.0,921652,3915168479.48,22-Mar-2024 15:59:52,0.8890428357002655,-30.060606060606062,27.39,23-Mar-2023,https://nsearchives.nseindia.com/365d/DMART-EQ.svg,21-Feb-2024,12.04,https://nsearchives.nseindia.com/30d/DMART-EQ.svg,https://nsearchives.nseindia.com/today/DMARTEQN.svg,,,0,22-Mar-2024 16:00:00
UPL,UPLEQN,455.6,474.35,455.0,469.6,455.55,14.05,3.08,236165183303.11,759.95,447.8,7019704,3278271965.04,22-Mar-2024 15:59:57,38.20646095137838,-4.868244752121485,-33.77,23-Mar-2023,https://nsearchives.nseindia.com/365d/UPL-EQ.svg,21-Feb-2024,-4.5,https://nsearchives.nseindia.com/30d/UPL-EQ.svg,https://nsearchives.nseindia.com/today/UPLEQN.svg,,,0,22-Mar-2024 16:00:00
PRINCEPIPE,PRINCEPIPEEQN,549.0,565.6,547.15,561.0,544.25,16.75,3.08,23569410821.22,776.0,521.35,286123,159450625.44,22-Mar-2024 15:59:50,27.70618556701031,-7.605255586458228,-1.92,23-Mar-2023,https://nsearchives.nseindia.com/365d/PRINCEPIPE-EQ.svg,21-Feb-2024,-4.43,https://nsearchives.nseindia.com/30d/PRINCEPIPE-EQ.svg,https://nsearchives.nseindia.com/today/PRINCEPIPEEQN.svg,,,0,22-Mar-2024 16:00:00
RADICO,RADICOEQN,1619.0,1666.6,1600.75,1660.0,1610.65,49.35,3.06,128741114910.0,1885.1,1068.55,120504,196021446.72,22-Mar-2024 15:58:43,11.941011086944986,-55.35070890459034,37.3,23-Mar-2023,https://nsearchives.nseindia.com/365d/RADICO-EQ.svg,21-Feb-2024,-1.05,https://nsearchives.nseindia.com/30d/RADICO-EQ.svg,https://nsearchives.nseindia.com/today/RADICOEQN.svg,,,0,22-Mar-2024 16:00:00
KAYNES,KAYNESEQN,2695.0,2814.0,2675.3,2795.0,2712.2,82.8,3.05,75033425894.7,3248.85,932.35,208195,569648585.35,22-Mar-2024 15:57:47,13.96955845914708,-199.78012548935484,193.7,23-Mar-2023,https://nsearchives.nseindia.com/365d/KAYNES-EQ.svg,21-Feb-2024,-0.43,https://nsearchives.nseindia.com/30d/KAYNES-EQ.svg,https://nsearchives.nseindia.com/today/KAYNESEQN.svg,,,0,22-Mar-2024 16:00:00
TV18BRDCST,TV18BRDCSTBEN,48.45,50.0,48.4,49.45,48.0,1.45,3.02,33910043984.58,68.7,27.35,3739161,184265854.08,22-Mar-2024 15:59:58,28.020378457059678,-80.80438756855575,-,-,-,21-Feb-2024,-21.64,https://nsearchives.nseindia.com/30d/TV18BRDCST-BE.svg,https://nsearchives.nseindia.com/today/TV18BRDCSTBEN.svg,,,0,22-Mar-2024 16:00:00
CHOLAHLDNG,CHOLAHLDNGEQN,1044.65,1098.1,1043.05,1082.0,1050.8,31.2,2.97,105651111219.68,1296.0,511.3,186103,198988771.72,22-Mar-2024 15:59:17,16.512345679012345,-111.61744572657932,97.88,23-Mar-2023,https://nsearchives.nseindia.com/365d/CHOLAHLDNG-EQ.svg,21-Feb-2024,4.27,https://nsearchives.nseindia.com/30d/CHOLAHLDNG-EQ.svg,https://nsearchives.nseindia.com/today/CHOLAHLDNGEQN.svg,,,0,22-Mar-2024 16:00:00
HDFCAMC,HDFCAMCEQN,3671.25,3819.0,3668.0,3780.0,3671.25,108.75,2.96,379275674400.0,4066.5,1633.5,843004,3177855318.72,22-Mar-2024 15:59:06,7.045370711914423,-131.40495867768595,116.38,23-Mar-2023,https://nsearchives.nseindia.com/365d/HDFCAMC-EQ.svg,21-Feb-2024,0.86,https://nsearchives.nseindia.com/30d/HDFCAMC-EQ.svg,https://nsearchives.nseindia.com/today/HDFCAMCEQN.svg,,,0,22-Mar-2024 16:00:00
APOLLOHOSP,APOLLOHOSPEQN,6169.15,6390.9,6168.7,6365.0,6182.5,182.5,2.95,640632539263.5,6874.45,4168.0,727548,4590937012.2,22-Mar-2024 15:58:00,7.410774680156229,-52.71113243761996,49.21,23-Mar-2023,https://nsearchives.nseindia.com/365d/APOLLOHOSP-EQ.svg,21-Feb-2024,-5.68,https://nsearchives.nseindia.com/30d/APOLLOHOSP-EQ.svg,https://nsearchives.nseindia.com/today/APOLLOHOSPEQN.svg,,,0,22-Mar-2024 16:00:00
