symbol,identifier,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,ffmc,yearHigh,yearLow,totalTradedVolume,totalTradedValue,lastUpdateTime,nearWKH,nearWKL,perChange365d,date365dAgo,chart365dPath,date30dAgo,perChange30d,chart30dPath,chartTodayPath,series,meta,priority,timestamp
DATAMATICS,DATAMATICSEQN,622.25,632.65,618.55,622.3,616.15,6.15,1.0,12121876429.25,791.5,287.55,141362,88212715.24,04-Apr-2024 14:07:13,21.37713202779533,-116.41453660233,113.05,03-Apr-2023,https://nsearchives.nseindia.com/365d/DATAMATICS-EQ.svg,04-Mar-2024,3.51,https://nsearchives.nseindia.com/30d/DATAMATICS-EQ.svg,https://nsearchives.nseindia.com/today/DATAMATICSEQN.svg,,,0,04-Apr-2024 14:06:48
TIRUMALCHM,TIRUMALCHMEQN,248.0,252.85,243.0,250.35,247.9,2.45,0.99,14607815468.52,268.65,175.5,396351,98564566.68,04-Apr-2024 14:07:14,6.811836962590725,-42.64957264957265,39.15,03-Apr-2023,https://nsearchives.nseindia.com/365d/TIRUMALCHM-EQ.svg,04-Mar-2024,-0.04,https://nsearchives.nseindia.com/30d/TIRUMALCHM-EQ.svg,https://nsearchives.nseindia.com/today/TIRUMALCHMEQN.svg,,,0,04-Apr-2024 14:06:48
SUNTECK,SUNTECKEQN,439.05,443.3,435.95,441.6,437.3,4.3,0.98,23961808960.76,511.4,271.4,255165,112109294.4,04-Apr-2024 14:07:17,13.648807195932726,-62.71186440677968,47.89,03-Apr-2023,https://nsearchives.nseindia.com/365d/SUNTECK-EQ.svg,04-Mar-2024,-6.45,https://nsearchives.nseindia.com/30d/SUNTECK-EQ.svg,https://nsearchives.nseindia.com/today/SUNTECKEQN.svg,,,0,04-Apr-2024 14:06:48
FLUOROCHEM,FLUOROCHEMEQN,3178.0,3245.0,3178.0,3206.8,3175.9,30.9,0.97,126816112800.0,3920.0,2537.0,69160,221895710.4,04-Apr-2024 14:07:14,18.193877551020403,-26.40126133228223,3.16,03-Apr-2023,https://nsearchives.nseindia.com/365d/FLUOROCHEM-EQ.svg,04-Mar-2024,-9.03,https://nsearchives.nseindia.com/30d/FLUOROCHEM-EQ.svg,https://nsearchives.nseindia.com/today/FLUOROCHEMEQN.svg,,,0,04-Apr-2024 14:06:48
SSWL,SSWLEQN,239.95,242.6,238.4,241.45,239.15,2.3,0.96,7935602106.6,299.0,145.95,157420,37879974.6,04-Apr-2024 14:07:10,19.24749163879599,-65.43336759164097,56.46,03-Apr-2023,https://nsearchives.nseindia.com/365d/SSWL-EQ.svg,04-Mar-2024,-5,https://nsearchives.nseindia.com/30d/SSWL-EQ.svg,https://nsearchives.nseindia.com/today/SSWLEQN.svg,,,0,04-Apr-2024 14:06:48
MUTHOOTFIN,MUTHOOTFINEQN,1645.0,1674.45,1618.45,1645.85,1630.2,15.65,0.96,178308004190.4,1674.45,978.5,1187468,1956579148.92,04-Apr-2024 14:07:18,1.708023530114374,-68.20132856412876,66.14,03-Apr-2023,https://nsearchives.nseindia.com/365d/MUTHOOTFIN-EQ.svg,04-Mar-2024,21.85,https://nsearchives.nseindia.com/30d/MUTHOOTFIN-EQ.svg,https://nsearchives.nseindia.com/today/MUTHOOTFINEQN.svg,,,0,04-Apr-2024 14:06:48
GHCL,GHCLEQN,498.0,498.0,491.75,496.0,491.35,4.65,0.95,37538735453.82,659.9,434.95,128847,63741899.37,04-Apr-2024 14:07:16,24.837096529777234,-14.036096103000347,-2.86,03-Apr-2023,https://nsearchives.nseindia.com/365d/GHCL-EQ.svg,04-Mar-2024,-2.14,https://nsearchives.nseindia.com/30d/GHCL-EQ.svg,https://nsearchives.nseindia.com/today/GHCLEQN.svg,,,0,04-Apr-2024 14:06:48
RAIN,RAINEQN,172.0,175.15,170.55,172.4,170.8,1.6,0.94,33670893233.33,219.6,140.25,3077198,531524410.53999996,04-Apr-2024 14:07:17,21.493624772313293,-22.92335115864528,11.74,03-Apr-2023,https://nsearchives.nseindia.com/365d/RAIN-EQ.svg,04-Mar-2024,-3.34,https://nsearchives.nseindia.com/30d/RAIN-EQ.svg,https://nsearchives.nseindia.com/today/RAINEQN.svg,,,0,04-Apr-2024 14:06:48
TEAMLEASE,TEAMLEASEEQN,2959.2,3017.0,2930.0,3017.0,2989.05,27.95,0.94,34349951364.8,3325.3,2007.25,17306,51688349.38,04-Apr-2024 14:07:16,9.271343938892736,-50.30514385353095,35.67,03-Apr-2023,https://nsearchives.nseindia.com/365d/TEAMLEASE-EQ.svg,04-Mar-2024,3.5,https://nsearchives.nseindia.com/30d/TEAMLEASE-EQ.svg,https://nsearchives.nseindia.com/today/TEAMLEASEEQN.svg,,,0,04-Apr-2024 14:06:48
GILLETTE,GILLETTEEQN,6599.0,6631.1,6577.25,6620.0,6559.4,60.6,0.92,53928534135.0,7335.65,4222.55,4301,28457910.58,04-Apr-2024 14:07:17,9.755781696236868,-56.77730281464991,53.79,03-Apr-2023,https://nsearchives.nseindia.com/365d/GILLETTE-EQ.svg,04-Mar-2024,-0.45,https://nsearchives.nseindia.com/30d/GILLETTE-EQ.svg,https://nsearchives.nseindia.com/today/GILLETTEEQN.svg,,,0,04-Apr-2024 14:06:48
FEDFINA,FEDFINAEQN,126.0,127.0,120.4,126.0,124.85,1.15,0.92,8843122362.06,153.6,108.75,620673,77546884.62,04-Apr-2024 14:07:15,17.968749999999996,-15.862068965517242,-,-,-,04-Mar-2024,-1.42,https://nsearchives.nseindia.com/30d/FEDFINA-EQ.svg,https://nsearchives.nseindia.com/today/FEDFINAEQN.svg,,,0,04-Apr-2024 14:06:48
IONEXCHANG,IONEXCHANGEQN,536.5,546.8,533.0,535.25,530.4,4.85,0.91,43974163680.16,686.95,321.51,208030,112485981.60000001,04-Apr-2024 14:07:17,22.08312104228838,-66.48004727691207,-84.31,03-Apr-2023,https://nsearchives.nseindia.com/365d/IONEXCHANG-EQ.svg,04-Mar-2024,9.47,https://nsearchives.nseindia.com/30d/IONEXCHANG-EQ.svg,https://nsearchives.nseindia.com/today/IONEXCHANGEQN.svg,,,0,04-Apr-2024 14:06:48
KRBL,KRBLEQN,314.2,321.0,311.4,316.0,313.15,2.85,0.91,21695328413.22,470.9,275.55,478312,151988421.12,04-Apr-2024 14:07:14,32.89445742195795,-14.679731446198508,-10.21,03-Apr-2023,https://nsearchives.nseindia.com/365d/KRBL-EQ.svg,04-Mar-2024,1.8,https://nsearchives.nseindia.com/30d/KRBL-EQ.svg,https://nsearchives.nseindia.com/today/KRBLEQN.svg,,,0,04-Apr-2024 14:06:48
KFINTECH,KFINTECHEQN,634.0,652.0,633.85,638.55,632.8,5.75,0.91,66733117321.09,731.65,276.1,285509,183736461.85999998,04-Apr-2024 14:07:15,12.72466343196884,-131.27490039840634,121.45,03-Apr-2023,https://nsearchives.nseindia.com/365d/KFINTECH-EQ.svg,04-Mar-2024,-6.16,https://nsearchives.nseindia.com/30d/KFINTECH-EQ.svg,https://nsearchives.nseindia.com/today/KFINTECHEQN.svg,,,0,04-Apr-2024 14:06:48
VGUARD,VGUARDEQN,337.4,339.0,332.4,338.75,335.7,3.05,0.91,60375307360.2,352.0,239.0,155564,52373731.88,04-Apr-2024 14:07:17,3.7642045454545454,-41.73640167364017,32.24,03-Apr-2023,https://nsearchives.nseindia.com/365d/VGUARD-EQ.svg,04-Mar-2024,-3.53,https://nsearchives.nseindia.com/30d/VGUARD-EQ.svg,https://nsearchives.nseindia.com/today/VGUARDEQN.svg,,,0,04-Apr-2024 14:06:48
SANSERA,SANSERAEQN,1030.0,1054.0,1023.35,1029.5,1020.4,9.1,0.89,29268510385.0,1089.95,712.3,245615,254110822.85,04-Apr-2024 14:07:14,5.546125969081155,-44.53179839955076,38.16,03-Apr-2023,https://nsearchives.nseindia.com/365d/SANSERA-EQ.svg,04-Mar-2024,-0.78,https://nsearchives.nseindia.com/30d/SANSERA-EQ.svg,https://nsearchives.nseindia.com/today/SANSERAEQN.svg,,,0,04-Apr-2024 14:06:48
RBLBANK,RBLBANKEQN,259.0,266.75,252.35,254.85,252.6,2.25,0.89,152517846413.79,300.7,138.85,28686105,7420521641.400001,04-Apr-2024 14:07:17,15.247755237778515,-83.54339214980195,74.69,03-Apr-2023,https://nsearchives.nseindia.com/365d/RBLBANK-EQ.svg,04-Mar-2024,-7.64,https://nsearchives.nseindia.com/30d/RBLBANK-EQ.svg,https://nsearchives.nseindia.com/today/RBLBANKEQN.svg,,,0,04-Apr-2024 14:06:48
ARVIND,ARVINDEQN,297.95,301.5,291.0,298.2,295.6,2.6,0.88,45227798409.91,319.0,87.55,215641,63980684.699999996,04-Apr-2024 14:07:16,6.520376175548592,-240.60536836093658,237.44,03-Apr-2023,https://nsearchives.nseindia.com/365d/ARVIND-EQ.svg,04-Mar-2024,5.63,https://nsearchives.nseindia.com/30d/ARVIND-EQ.svg,https://nsearchives.nseindia.com/today/ARVINDEQN.svg,,,0,04-Apr-2024 14:06:48
HONASA,HONASAEQN,410.4,415.0,410.4,414.0,410.4,3.6,0.88,36322803199.61,511.0,256.3,133329,55159540.589999996,04-Apr-2024 14:07:10,18.98238747553816,-61.52945766679671,-,-,-,04-Mar-2024,1.37,https://nsearchives.nseindia.com/30d/HONASA-EQ.svg,https://nsearchives.nseindia.com/today/HONASAEQN.svg,,,0,04-Apr-2024 14:06:48
EQUITASBNK,EQUITASBNKEQN,97.45,99.25,97.2,97.9,97.05,0.85,0.88,111105464614.1,116.5,65.1,5142565,505874119.05,04-Apr-2024 14:07:16,15.965665236051498,-50.38402457757298,42.09,03-Apr-2023,https://nsearchives.nseindia.com/365d/EQUITASBNK-EQ.svg,04-Mar-2024,-4.05,https://nsearchives.nseindia.com/30d/EQUITASBNK-EQ.svg,https://nsearchives.nseindia.com/today/EQUITASBNKEQN.svg,,,0,04-Apr-2024 14:06:48
SANGHIIND,SANGHIINDEQN,99.5,99.5,96.05,97.9,97.05,0.85,0.88,6828331158.0,156.0,62.75,303230,29519440.5,04-Apr-2024 14:06:27,37.24358974358974,-56.01593625498009,50,03-Apr-2023,https://nsearchives.nseindia.com/365d/SANGHIIND-EQ.svg,04-Mar-2024,-8.87,https://nsearchives.nseindia.com/30d/SANGHIIND-EQ.svg,https://nsearchives.nseindia.com/today/SANGHIINDEQN.svg,,,0,04-Apr-2024 14:06:48
LTIM,LTIMEQN,4901.95,4915.45,4866.1,4911.25,4869.3,41.95,0.86,450661729052.75,6442.0,4132.2,594381,2905578024.21,04-Apr-2024 14:07:18,23.762030425333748,-18.853153283964964,2.73,03-Apr-2023,https://nsearchives.nseindia.com/365d/LTIM-EQ.svg,04-Mar-2024,-6.66,https://nsearchives.nseindia.com/30d/LTIM-EQ.svg,https://nsearchives.nseindia.com/today/LTIMEQN.svg,,,0,04-Apr-2024 14:06:48
LICHSGFIN,LICHSGFINEQN,646.25,661.0,645.2,646.8,641.4,5.4,0.84,195437383900.0,671.95,324.15,2545415,1662461444.8,04-Apr-2024 14:07:18,3.7428380087804283,-99.53725127255899,92.3,03-Apr-2023,https://nsearchives.nseindia.com/365d/LICHSGFIN-EQ.svg,04-Mar-2024,-2.49,https://nsearchives.nseindia.com/30d/LICHSGFIN-EQ.svg,https://nsearchives.nseindia.com/today/LICHSGFINEQN.svg,,,0,04-Apr-2024 14:06:48
NAUKRI,NAUKRIEQN,5639.95,5747.9,5631.8,5660.85,5614.0,46.85,0.83,439555377034.8,5802.3,3592.3,183427,1044596588.0300001,04-Apr-2024 14:07:15,2.4378263791944543,-57.582885616457425,51.9,03-Apr-2023,https://nsearchives.nseindia.com/365d/NAUKRI-EQ.svg,04-Mar-2024,8.85,https://nsearchives.nseindia.com/30d/NAUKRI-EQ.svg,https://nsearchives.nseindia.com/today/NAUKRIEQN.svg,,,0,04-Apr-2024 14:06:48
EIHOTEL,EIHOTELEQN,473.5,480.0,468.1,474.1,470.2,3.9,0.83,100826216335.5,487.7,163.45,616614,292638838.26,04-Apr-2024 14:07:16,2.788599548903007,-190.0581217497706,186.79,03-Apr-2023,https://nsearchives.nseindia.com/365d/EIHOTEL-EQ.svg,04-Mar-2024,13.67,https://nsearchives.nseindia.com/30d/EIHOTEL-EQ.svg,https://nsearchives.nseindia.com/today/EIHOTELEQN.svg,,,0,04-Apr-2024 14:06:48
GESHIP,GESHIPEQN,1031.05,1071.95,1023.35,1030.45,1022.05,8.4,0.82,101336559179.28,1071.95,623.65,894351,936144022.23,04-Apr-2024 14:07:14,3.8714492280423527,-65.22889441192979,58.26,03-Apr-2023,https://nsearchives.nseindia.com/365d/GESHIP-EQ.svg,04-Mar-2024,2.57,https://nsearchives.nseindia.com/30d/GESHIP-EQ.svg,https://nsearchives.nseindia.com/today/GESHIPEQN.svg,,,0,04-Apr-2024 14:06:48
USHAMART,USHAMARTEQN,335.75,340.95,329.55,338.0,335.25,2.75,0.82,54591442469.2,379.9,205.4,392938,131264868.28,04-Apr-2024 14:07:15,11.029218215319817,-64.55696202531645,54.56,03-Apr-2023,https://nsearchives.nseindia.com/365d/USHAMART-EQ.svg,04-Mar-2024,5.14,https://nsearchives.nseindia.com/30d/USHAMART-EQ.svg,https://nsearchives.nseindia.com/today/USHAMARTEQN.svg,,,0,04-Apr-2024 14:06:48
VIJAYA,VIJAYAEQN,646.0,655.8,642.95,654.05,648.85,5.2,0.8,30134154118.46,718.8,349.25,39247,25520754.22,04-Apr-2024 14:07:14,9.008069003895383,-87.27272727272727,64.64,03-Apr-2023,https://nsearchives.nseindia.com/365d/VIJAYA-EQ.svg,04-Mar-2024,4.95,https://nsearchives.nseindia.com/30d/VIJAYA-EQ.svg,https://nsearchives.nseindia.com/today/VIJAYAEQN.svg,,,0,04-Apr-2024 14:06:48
IDBI,IDBIEQN,88.8,90.95,87.85,88.55,87.85,0.7,0.8,47686903646.13,98.7,45.9,20698472,1853341182.88,04-Apr-2024 14:07:16,10.283687943262416,-92.91938997821352,89.13,03-Apr-2023,https://nsearchives.nseindia.com/365d/IDBI-EQ.svg,04-Mar-2024,0.69,https://nsearchives.nseindia.com/30d/IDBI-EQ.svg,https://nsearchives.nseindia.com/today/IDBIEQN.svg,,,0,04-Apr-2024 14:06:48
INDHOTEL,INDHOTELEQN,611.3,622.5,611.3,618.95,614.15,4.8,0.78,537517189275.85,622.5,318.1,2130815,1314776779.45,04-Apr-2024 14:07:17,0.5702811244979846,-94.57717698836844,91.29,03-Apr-2023,https://nsearchives.nseindia.com/365d/INDHOTEL-EQ.svg,04-Mar-2024,4.39,https://nsearchives.nseindia.com/30d/INDHOTEL-EQ.svg,https://nsearchives.nseindia.com/today/INDHOTELEQN.svg,,,0,04-Apr-2024 14:06:48
CRISIL,CRISILEQN,4850.0,4870.0,4822.15,4845.0,4807.45,37.55,0.78,116904263424.3,5268.5,3208.55,14242,69066863.84,04-Apr-2024 14:07:16,8.038341083799944,-51.002789422013045,49.59,03-Apr-2023,https://nsearchives.nseindia.com/365d/CRISIL-EQ.svg,04-Mar-2024,-4.12,https://nsearchives.nseindia.com/30d/CRISIL-EQ.svg,https://nsearchives.nseindia.com/today/CRISILEQN.svg,,,0,04-Apr-2024 14:06:48
BIKAJI,BIKAJIEQN,533.25,539.0,525.1,535.6,531.45,4.15,0.78,33491746352.25,605.9,348.35,132335,70555728.6,04-Apr-2024 14:07:18,11.6025746822908,-53.7534089278025,48.16,03-Apr-2023,https://nsearchives.nseindia.com/365d/BIKAJI-EQ.svg,04-Mar-2024,2.82,https://nsearchives.nseindia.com/30d/BIKAJI-EQ.svg,https://nsearchives.nseindia.com/today/BIKAJIEQN.svg,,,0,04-Apr-2024 14:06:48
VOLTAMP,VOLTAMPEQN,9829.0,10100.0,9789.05,9864.2,9789.05,75.15,0.77,88467138211.69,10100.0,2750.05,14920,147870329.6,04-Apr-2024 14:07:16,2.3346534653465274,-258.6916601516336,254.14,03-Apr-2023,https://nsearchives.nseindia.com/365d/VOLTAMP-EQ.svg,04-Mar-2024,13.09,https://nsearchives.nseindia.com/30d/VOLTAMP-EQ.svg,https://nsearchives.nseindia.com/today/VOLTAMPEQN.svg,,,0,04-Apr-2024 14:06:48
HINDCOPPER,HINDCOPPEREQN,321.0,324.0,311.5,313.8,311.45,2.35,0.75,103321681416.9,324.0,96.9,12608905,3997527241.2000003,04-Apr-2024 14:07:15,3.148148148148145,-223.83900928792568,213.49,03-Apr-2023,https://nsearchives.nseindia.com/365d/HINDCOPPER-EQ.svg,04-Mar-2024,9.67,https://nsearchives.nseindia.com/30d/HINDCOPPER-EQ.svg,https://nsearchives.nseindia.com/today/HINDCOPPEREQN.svg,,,0,04-Apr-2024 14:06:48
SYRMA,SYRMAEQN,499.5,501.7,484.1,498.35,494.65,3.7,0.75,29207773442.23,705.2,269.2,457597,225540409.35999998,04-Apr-2024 14:07:15,29.332104367555306,-85.12258543833583,82.97,03-Apr-2023,https://nsearchives.nseindia.com/365d/SYRMA-EQ.svg,04-Mar-2024,-7.67,https://nsearchives.nseindia.com/30d/SYRMA-EQ.svg,https://nsearchives.nseindia.com/today/SYRMAEQN.svg,,,0,04-Apr-2024 14:06:48
OLECTRA,OLECTRAEQN,1930.75,2011.75,1920.0,1934.75,1920.65,14.1,0.73,79406956992.23,2221.95,622.25,1671740,3276610400.0,04-Apr-2024 14:07:14,12.925583383964529,-210.92808356769788,196.01,03-Apr-2023,https://nsearchives.nseindia.com/365d/OLECTRA-EQ.svg,04-Mar-2024,-1.45,https://nsearchives.nseindia.com/30d/OLECTRA-EQ.svg,https://nsearchives.nseindia.com/today/OLECTRAEQN.svg,,,0,04-Apr-2024 14:06:48
TMB,TMBEQN,496.25,499.0,491.7,494.95,491.35,3.6,0.73,55596403742.13,611.35,399.0,59124,29275248.599999998,04-Apr-2024 14:07:15,19.03982988468145,-24.047619047619044,21.47,03-Apr-2023,https://nsearchives.nseindia.com/365d/TMB-EQ.svg,04-Mar-2024,1.54,https://nsearchives.nseindia.com/30d/TMB-EQ.svg,https://nsearchives.nseindia.com/today/TMBEQN.svg,,,0,04-Apr-2024 14:06:48
IEX,IEXEQN,145.85,147.8,144.8,144.9,143.85,1.05,0.73,110280099001.13,173.35,116.0,9066333,1323865944.66,04-Apr-2024 14:07:16,16.411883472743,-24.91379310344828,7.47,03-Apr-2023,https://nsearchives.nseindia.com/365d/IEX-EQ.svg,04-Mar-2024,-6.32,https://nsearchives.nseindia.com/30d/IEX-EQ.svg,https://nsearchives.nseindia.com/today/IEXEQN.svg,,,0,04-Apr-2024 14:06:48
TEGA,TEGAEQN,1341.8,1361.0,1315.0,1350.0,1340.25,9.75,0.73,22537234527.7,1380.0,644.1,32024,42891024.16,04-Apr-2024 14:07:14,2.1739130434782608,-109.5947834187238,91.52,03-Apr-2023,https://nsearchives.nseindia.com/365d/TEGA-EQ.svg,04-Mar-2024,18.67,https://nsearchives.nseindia.com/30d/TEGA-EQ.svg,https://nsearchives.nseindia.com/today/TEGAEQN.svg,,,0,04-Apr-2024 14:06:48
